_id,video_id,age,category,length,views,rating,comments_count
6706a2fbe3960da8d1e5439e,fwRRXn8WWuY,1239,Music,191,164470,4.72,46654
6706a2dbe3960da8d1d77015,qr8B2dnIvR4,1220,People & Blogs,462,905658,2.23,17779
6706a2cce3960da8d1cff3d5,lB2vgOlzMO4,1207,Entertainment,86,534691,4.13,14502
6706a2fee3960da8d1e69b96,biH1VEgLwHA,594,Music,120,188180,3.9,13211
6706a2dfe3960da8d1d88c10,ebGY2XONJVM,835,News & Politics,591,245590,3.34,12660
6706a2e1e3960da8d1d93ba4,aVieAvxG_w4,937,Music,256,9862666,4.87,12631
6706a2fee3960da8d1e675db,ly0dBk7yqYU,1257,Comedy,364,415091,4.77,12464
6706a2e1e3960da8d1d92661,0fqhUOFz9OQ,1227,Comedy,190,669034,4.6,11172
6706a2e3e3960da8d1da2765,Ejc9GrooSKg,1229,Comedy,91,350684,3.98,11115
6706a2cee3960da8d1d12299,NECNIKmMgS8,1211,Entertainment,599,490887,4.14,10637
