_id,video_id,age,category,length,views,rating,comments_count
6706a2cce3960da8d1cff3dc,XFZEAtS16Zw,1188,Music,795,258,5.0,1
6706a2cce3960da8d1cff3e1,9slO0nQvZR4,1210,Music,89,112,5.0,0
6706a2cce3960da8d1cff3fa,X68cqaO3D6M,1209,Entertainment,48,5298,5.0,192
6706a2cce3960da8d1cff434,x4fOdKPhC1M,1211,Sports,166,6,5.0,1
6706a2cce3960da8d1cff476,lWl7p4bWUec,1211,Entertainment,38,27,5.0,0
6706a2cce3960da8d1cff486,Sh0nmCYTurs,1200,Travel & Events,37,997,5.0,805
6706a2cce3960da8d1cff487,GkjPd9Pl778,1100,Entertainment,95,108,5.0,3
6706a2cce3960da8d1cff48a,ZtT57plaGPU,1131,Music,189,418,5.0,18
6706a2cce3960da8d1cff48d,N0SzcLXpMcQ,1201,Music,119,129,5.0,10
6706a2cce3960da8d1cff48e,x3bxwTKgxVk,1129,Science & Technology,72,316,5.0,198
6706a2cce3960da8d1cff48f,1n47XZE3sAI,1195,Howto & Style,96,679,5.0,17
6706a2cce3960da8d1cff490,6L6JmWjD9mc,1203,Music,76,78,5.0,0
6706a2cce3960da8d1cff4a3,XL1XD5fAcB4,1204,People & Blogs,313,428,5.0,6
6706a2cce3960da8d1cff4a4,1idp7b9SP0E,1202,People & Blogs,97,1041,5.0,11
6706a2cce3960da8d1cff4a5,aZBDzdYbbys,1209,People & Blogs,20,525,5.0,10
6706a2cce3960da8d1cff4b0,yP7S7IC8u8A,1182,People & Blogs,178,101,5.0,0
6706a2cce3960da8d1cff4b8,LeSDRTnCnPI,983,Comedy,50,298,5.0,3
6706a2cce3960da8d1cff4b9,JBVYLhQaCDc,971,Entertainment,279,473,5.0,12
6706a2cce3960da8d1cff4ba,TfxEtf45xVY,937,Film & Animation,226,1018,5.0,2
6706a2cce3960da8d1cff4bc,91b-XGbJnAs,934,Entertainment,130,634,5.0,7
6706a2cce3960da8d1cff4c0,VaDyI76gDPA,1192,Film & Animation,440,360,5.0,6
6706a2cce3960da8d1cff4c1,8afMQ0_Aqq8,1205,Entertainment,562,220,5.0,5
6706a2cce3960da8d1cff4c8,v8kekiBsW_k,1207,Music,290,2123,5.0,4
6706a2cce3960da8d1cff4cc,KjxTg_R5zxY,1208,Entertainment,112,3076,5.0,36
6706a2cce3960da8d1cff4cd,LwDa3dK3g28,1202,Entertainment,58,250,5.0,1
6706a2cce3960da8d1cff4d9,HJAjvphUMbk,1187,Travel & Events,191,644,5.0,1
6706a2cce3960da8d1cff4df,J1g2tVFsEx0,930,Entertainment,276,259,5.0,2
6706a2cce3960da8d1cff4e4,GFQHDD-cGAE,1084,Pets & Animals,72,427,5.0,0
6706a2cce3960da8d1cff4ea,BS5YwhC67Hc,950,Music,291,4128,5.0,6
6706a2cce3960da8d1cff4ef,eMYIixX-u_o,1131,Entertainment,247,81,5.0,3
