_id,video_id,age,category,length,views,rating,comments_count
6706a2f6e3960da8d1e3bd0c,MddPeH1DAvY,0, UNA ,251,12211192,4.79,4277
6706a2e1e3960da8d1d93ba4,aVieAvxG_w4,937,Music,256,9862666,4.87,12631
6706a2f4e3960da8d1e277a7,aNGVnNIxRUU,0, UNA ,220,7308386,4.84,4551
6706a2fbe3960da8d1e5485a,f7P738lvS_E,0, UNA ,309,6446580,4.34,1928
6706a2dbe3960da8d1d78f12,l8vI1R4L4ac,805,Music,249,6344606,4.87,6773
6706a2d9e3960da8d1d719c2,x20v9F-sWHQ,325,Comedy,211,5870872,4.24,2016
6706a2d0e3960da8d1d24610,eOE0NOcBnF4,874,Music,249,4650624,4.82,4725
6706a2cce3960da8d1d0abc7,nafbS7V5uHg,913,Music,269,4514546,4.83,3092
6706a2d5e3960da8d1d4c959,00ok9vkgQdc,0, UNA ,79,3937342,3.65,51
6706a2dce3960da8d1d7c564,MV2IogPgZTE,704,Music,130,3844171,4.55,406
