_id,age,category,comments_count,crawl_date,length,rating,ratings_count,related_ids,uploader,video_id,views
6706a2f6e3960da8d1e3bd0c,0,UNA,4277,080719,251,4.79,13695,"",crazyc4eva2006,MddPeH1DAvY,12211192
6706a2e1e3960da8d1d93ba4,937,Music,12631,080627,256,4.87,24614,"kE_UwwiCgjM,_-RMweNQXPk,-hXKRilPNpc,mpxw0iCP4q4,LpocrqvP2Yg,dLfT5uwkFxE,l8vI1R4L4ac,hRfk5Di6kBs,veYbj2zypaM,lK1DBx_hf0E,Oy-nqyfR_w4,Na4x2Uwflmg,JEETviNu_VM,OqumjziPTzk,j7nA9S4GvSQ,FxTMfsRQIng,1Hcd4ryjS-U,xaYiv-mDOwo,4DC4Rb9quKk,5myD_8IioSE",ChrisBrownTV,aVieAvxG_w4,9862666
6706a2f4e3960da8d1e277a7,0,UNA,4551,080717,220,4.84,11283,"",Valery1012u,aNGVnNIxRUU,7308386
6706a2fbe3960da8d1e5485a,0,UNA,1928,080725,309,4.34,3904,"",nicoleofficial,f7P738lvS_E,6446580
6706a2dbe3960da8d1d78f12,805,Music,6773,080623,249,4.87,15714,"_-RMweNQXPk,mpxw0iCP4q4,LpocrqvP2Yg,Icv6DgZ-9O4,1UIbcCEaibc,GLFrkmn5dos,5myD_8IioSE,ktUSIJEiOug,a1fZHmIggc8,gfO9LA2VRnU,FxTMfsRQIng,j7nA9S4GvSQ,lKVtHxF1G58,xSFAjqkj6co,SlhOBR95kl0,UOE1uWwl7qM,-hvI9kAUTKA,RMDUu_DgJis,_8tSt1T4Iw4,JEETviNu_VM",ChrisBrownTV,l8vI1R4L4ac,6344606
6706a2d9e3960da8d1d719c2,325,Comedy,2016,080621,211,4.24,4937,"w8QH93jWZbk,Id_kGL3M5Cg,82-FJyniP7A,Cejq10jZ0kQ,pgX-hiQdfFw,x30kYRp6Y68,vE2lY7i5TPo,PJQVlVHsFF8,BfaQuk5tEKE,BLVZ_AA2ezc,ama_t7JZx40,lKuQXGrFSQ0,9GNhdQRbXhc,BQZYktmR2fU,Ls_uzZV51fM,HKh2CI6T_c0,FiNUkDnDMFA,O90CYGNvOfE,rIFh1ydXWmg,a-izmC0bXF0",nictum,x20v9F-sWHQ,5870872
6706a2d0e3960da8d1d24610,874,Music,4725,080613,249,4.82,8514,"woiAlFN-Fas,savrGzw3Jjk,z6iwQnXvPbw,skYv2SInC-4,lMz9vaWYjIY,zMXYcn-iNUU,72RuEA9Oj2o,fbM9EP2G0LM,4DC4Rb9quKk,_WK6rMG7Hno,YFRuUJR4LPI,74nylouvtYc,wWzCBSraOd8,SlhOBR95kl0,6pKQOV-v61o,_aWeZosFoU0,m9nsxKFqjFw,OqumjziPTzk",CiaraTV,eOE0NOcBnF4,4650624
6706a2cce3960da8d1d0abc7,913,Music,3092,080610,269,4.83,6218,"GHLI2y5CC3A,F5VvvVxuKko,k7zzbB17Fvo,r4qeg4AeN9M,DMCUOGFFJAA,MWYCYQ4rVRE,g1YMms0fORs,Hb_HeU8SZ48,omCFKGhe5j8,cjmpJyQYso8,bcdnrvzv9UY,u7x5Nr0h1sc,SnYESenjoGY,gm5DHKI8o5o,S7gwokgQfUc,aEwLgTmN_mo,waF46DvCmXw,1SuC2xOSHX0,wTKuxugVexs,51HFMhewXco",mileycyrus54,nafbS7V5uHg,4514546
6706a2d5e3960da8d1d4c959,0,UNA,51,080617,79,3.65,245,"",tamo412,00ok9vkgQdc,3937342
6706a2dce3960da8d1d7c564,704,Music,406,080623,130,4.55,557,"ic2W8w1YICk,TEIOuE3oRac,YrKrpTYLS-Q,S0ppvs8kfkk,lH7PwneWEyc,VJ5c-edAPXs,j8uskG5C1fA,iLUSqyHmFHA,mAXWPsVHFXg,lr4Kdp07lXI,Ehvfi68HiWI,miSctXbphjo,ulkLFzgiAbc,T8PbtfD7wZc,229IVeufaSU,j-PrxQ1q4zQ,85I8Uxtyi70,NL3PZYs4ldA,u9a8a_K6ciQ,zeI7-0v42aI",tweetypaars33,MV2IogPgZTE,3844171
