category,avg_views,avg_rating
Education,3753.704555484725,3.4546883734614813
Gaming,2286.8635827931644,3.3414741701041053
Entertainment,10440.240866309803,3.92559243041397
Music,15210.179538797927,4.179100707436637
Travel & Events,6067.121979634104,3.1819917155678294
Science & Technology,4925.569789776971,3.413804289830328
Sports,11033.377989232502,3.679197445849495
Howto & Style,8632.038007370149,3.588480243161095
Nonprofits & Activism,3780.1020066889632,3.813816053511707
Film & Animation,11877.856524706327,4.181897733377853
Comedy,15153.985416580354,3.54857223350043
People & Blogs,10621.843506325238,3.591947906114779
News & Politics,8333.122491592852,3.81097061344704
Pets & Animals,8636.641759546264,3.57305447470817
UNA,69607.09668347557,3.9846993793638474
Autos & Vehicles,12523.080203953841,3.4428954289292393
News &amp; Politics,8349.8,3.6979999999999995
People &amp; Blogs,4565.9473684210525,3.608421052631579
Howto &amp; Style,4170.6,4.134
Film &amp; Animation,7346.571428571428,3.8600000000000003
Travel &amp; Events,11129.0,4.636666666666667
Nonprofits &amp; Activism,912.0,0.0
Pets &amp; Animals,7533.75,3.6375
Science &amp; Technology,373.3333333333333,4.36
Autos &amp; Vehicles,8312.5,4.0
