_id,age,category,comments_count,crawl_date,length,rating,ratings_count,uploader,video_id,views
6706a2cee3960da8d1d1324c,1155,Entertainment,68,080611,130,5.0,37,WaltHadAVision,DCZsOmRAk94,4640
6706a2cee3960da8d1d1324d,1171,Entertainment,9,080611,125,5.0,2,VmkRocks3,kZNCTr53gDI,543
6706a2cee3960da8d1d13233,1100,Comedy,2,080611,108,5.0,1,TinkerbellChick22,MAnELT95s8U,142
6706a2cee3960da8d1d13251,1155,People & Blogs,19,080611,173,5.0,5,LetsSaveVMK,R3g66b2FcOA,399
6706a2cee3960da8d1d1323f,1167,Entertainment,8,080611,23,5.0,3,UberMcDuck,FzreoTJyO04,398
6706a2cee3960da8d1d13252,1147,Nonprofits & Activism,37,080611,101,5.0,5,tiedyenaj,4NZg0UJ1nP0,2077
6706a2cee3960da8d1d1325e,1168,Entertainment,13,080611,147,5.0,1,VMKvictoriag,nz4kI5ZzU4w,378
6706a2cee3960da8d1d13257,1160,Entertainment,2,080611,61,5.0,1,VmkRocks3,2T58_Og6t5M,176
6706a2cee3960da8d1d13254,1149,People & Blogs,17,080611,130,5.0,2,rachielass1,C5BB2uIveNs,954
6706a2cee3960da8d1d13235,1161,Entertainment,9,080611,172,5.0,3,VmkRocks3,rI2h4OXZrDA,418
