_id,age,category,comments_count,crawl_date,length,rating,ratings_count,uploader,video_id,views
674e696d94fec8bbb0646e25,877,People & Blogs,1,080619,160,5.0,2,ETINER,c0r91001JwM,202
674e696d94fec8bbb0646e3d,1175,Music,1,080619,212,5.0,2,dazdoze,qGLFshghYLk,61
674e696d94fec8bbb0646e1d,1029,People & Blogs,0,080619,43,5.0,1,ETINER,fKiwQ0LmtXQ,13
674e696d94fec8bbb0646e2c,1180,Entertainment,2,080619,246,5.0,1,IHit2H4rd,CxBLkfuiZKw,160
674e696d94fec8bbb0646e1b,866,People & Blogs,3,080619,195,5.0,6,ETINER,ZokZ7tloxk4,1118
674e696d94fec8bbb0646e30,1152,Nonprofits & Activism,21,080619,436,5.0,5,Bertman20,EACUSqnpMCM,4444
674e696d94fec8bbb0646e21,1155,Comedy,1,080619,177,5.0,1,redeyedjedi5,hG9IgOhxgPQ,126
674e696d94fec8bbb0646e33,1194,Music,0,080619,219,5.0,6,Spermy0504,gVe6YKhfi0E,456
674e696d94fec8bbb0646e24,1203,Education,4,080619,101,5.0,1,gypsycrackups0924,QfFkkk_JTZU,221
674e696d94fec8bbb0646e37,1192,Music,3,080619,241,5.0,1,pennine00,HMCcogIMSbc,147
