_id,age,category,comments_count,crawl_date,length,rating,ratings_count,uploader,video_id,views
6706a2f6e3960da8d1e3bd0c,0,UNA,4277,080719,251,4.79,13695,crazyc4eva2006,MddPeH1DAvY,12211192
6706a2e1e3960da8d1d93ba4,937,Music,12631,080627,256,4.87,24614,ChrisBrownTV,aVieAvxG_w4,9862666
6706a2f4e3960da8d1e277a7,0,UNA,4551,080717,220,4.84,11283,Valery1012u,aNGVnNIxRUU,7308386
6706a2fbe3960da8d1e5485a,0,UNA,1928,080725,309,4.34,3904,nicoleofficial,f7P738lvS_E,6446580
6706a2dbe3960da8d1d78f12,805,Music,6773,080623,249,4.87,15714,ChrisBrownTV,l8vI1R4L4ac,6344606
6706a2d9e3960da8d1d719c2,325,Comedy,2016,080621,211,4.24,4937,nictum,x20v9F-sWHQ,5870872
6706a2d0e3960da8d1d24610,874,Music,4725,080613,249,4.82,8514,CiaraTV,eOE0NOcBnF4,4650624
6706a2cce3960da8d1d0abc7,913,Music,3092,080610,269,4.83,6218,mileycyrus54,nafbS7V5uHg,4514546
6706a2d5e3960da8d1d4c959,0,UNA,51,080617,79,3.65,245,tamo412,00ok9vkgQdc,3937342
6706a2dce3960da8d1d7c564,704,Music,406,080623,130,4.55,557,tweetypaars33,MV2IogPgZTE,3844171
